Rk,Squad,Comp,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
86,Torino,it Serie A,27,47.5,21006,2680,7614,9564,5246,833,19100,496,783,63.3,529,15,13063,84966,47283,14983,12627,84.3,462,464
87,Tottenham,eng Premier League,29,52.2,24347,2655,7926,11794,6111,815,22571,467,804,58.1,510,33,15693,90195,49135,18554,15794,85.1,410,470
88,Toulouse,fr Ligue 1,30,44.0,15603,1880,5471,7444,3733,528,14220,321,501,64.1,343,8,9817,61894,35492,11390,9428,82.8,396,356
89,Udinese,it Serie A,25,44.7,21038,2619,7642,9704,5094,793,19331,365,608,60.0,394,18,13363,83428,47368,15710,13403,85.3,419,378
90,Union Berlin,de Bundesliga,26,41.8,17733,2286,6746,7802,4154,615,16020,284,444,64.0,304,16,9295,56087,28778,12114,9503,78.4,458,353
91,Valencia,es La Liga,28,48.9,21958,2790,7972,10515,4832,709,20177,353,557,63.4,376,13,14244,84453,44475,16844,14566,86.5,444,341
92,Valladolid,es La Liga,30,44.3,19441,2299,6704,9739,4102,545,17475,329,584,56.3,351,18,11459,70819,36834,13686,11195,81.8,434,354
93,Villarreal,es La Liga,25,53.2,24211,2721,8164,12023,5406,842,22390,419,673,62.3,446,17,15651,87359,47924,18932,16361,86.4,485,354
94,Watford,eng Premier League,26,42.5,19956,2253,6442,9052,5489,875,18180,358,615,58.2,380,15,11588,64448,35230,14072,11207,79.6,446,411
95,Werder Bremen,de Bundesliga,30,48.8,20863,2519,7265,10087,4783,704,19078,278,487,57.1,296,17,12938,73123,39211,15464,12978,83.9,453,403
96,West Ham,eng Premier League,29,44.0,20828,2284,6462,9958,5606,832,19022,407,646,63.0,430,23,12520,76101,39292,15315,12388,80.9,399,408
97,Wolfsburg,de Bundesliga,26,48.3,19911,2102,6576,9616,4946,787,18132,388,617,62.9,414,30,11921,71694,40133,14309,11716,81.9,469,469
98,Wolves,eng Premier League,21,48.3,22382,2102,7283,10927,5473,843,20636,519,818,63.4,561,32,14113,82977,48556,16704,14072,84.2,447,454
